Tempo_s,Altitude_Real_m,Leitura_Barometro_m,Velocidade_Vertical_ms
0.0,480.38,483.5735926776651,19.62
0.02,480.770438,485.55790701045976,19.4238
0.04,481.156952,490.38627020183077,19.2276
0.06,481.539542,490.50521786400907,19.0314
0.08,481.918208,470.6525457913542,18.8352
0.1,482.29295,474.74211738766934,18.639
0.12,482.663768,486.9578744108072,18.4428
0.14,483.030662,487.12381385533917,18.2466
0.16,483.393632,487.24224351885744,18.050400000000003
0.18,483.752678,512.6408721032018,17.854200000000002
0.2,484.1078,492.23224489589205,17.658
0.22,484.458998,492.58468168049524,17.4618
0.24,484.806272,491.6058594671827,17.265600000000003
0.26,485.149622,489.3983211857361,17.0694
0.28,485.489048,483.0744309848848,16.8732
0.3,485.82455,490.83652858715817,16.677
0.32,486.156128,480.90911011958957,16.4808
0.34,486.483782,484.99816307649195,16.2846
0.36,486.807512,483.5877032378485,16.088400000000004
0.38,487.127318,487.4260017432157,15.892200000000003
0.4,487.4432,501.82721340318443,15.696000000000002
0.42,487.755158,476.5091646619644,15.499800000000002
0.44,488.063192,492.11625380278883,15.303600000000001
0.46,488.367302,478.8330938931866,15.107400000000002
0.48,488.667488,485.91047345446384,14.911200000000001
0.5,488.96375,495.03491066001675,14.715
0.52,489.256088,489.4339204082866,14.5188
0.54,489.544502,483.83889220043886,14.3226
0.56,489.82899199999997,485.98951766484373,14.1264
0.58,490.109558,493.55788051052235,13.9302
0.6,490.3862,486.61732342999755,13.734
0.62,490.658918,492.0052752034093,13.537799999999999
0.64,490.927712,491.14613973115536,13.3416
0.66,491.192582,487.9453208838727,13.145399999999999
0.68,491.453528,501.5334576675036,12.9492
0.7000000000000001,491.71055,494.4114262655323,12.752999999999998
0.72,491.963648,482.9701868111207,12.5568
0.74,492.212822,492.73269014063067,12.360600000000002
0.76,492.458072,489.4300466090802,12.1644
0.78,492.699398,496.29696503327887,11.9682
0.8,492.9368,489.7995230433814,11.772
0.8200000000000001,493.170278,492.7356051087843,11.5758
